Hero,Ana,Anran,Ashe,Baptiste,Bastion,Brigitte,Cassidy,DMon,DVa,Domina,Doomfist,Echo,Emre,Freja,Genji,Hanzo,Hazard,Illari,Jetpack Cat,Junker Queen,Junkrat,Juno,Kiriko,Lifeweaver,Lúcio,Mauga,Mei,Mercy,Mizuki,Moira,Orisa,Pharah,Ramattra,Reaper,Reinhardt,Roadhog,Shion,Sierra,Sigma,Sojourn,Soldier 76,Sombra,Symmetra,Torbjörn,Tracer,Vendetta,Venture,Widowmaker,Winston,Wrecking Ball,Wuyang,Zarya,Zenyatta
Doomfist,1,1,1,0,1,0,1,,0,0,-11,-1,0,-1,1,1,0,0,-1,0,0,1,0,0,1,0,1,0,0,0,-1,-1,0,0,0,0,-1,-1,-2,0,-1,1,0,0,0,0,0,2,-1,0,-1,-1,0
Echo,0,0,0,-1,0,0,0,,1,-1,-2,-11,0,-2,0,0,0,1,-1,-2,-2,-1,-1,0,0,1,0,0,0,-1,-1,-2,-2,-2,-1,-1,0,0,0,0,0,0,-2,0,2,0,0,0,0,0,-1,0,-1
Emre,1,2,-6,1,-2,1,-6,,0,1,1,0,-11,0,2,-6,1,1,1,-1,0,1,1,1,-1,2,2,2,1,1,1,0,1,0,0,1,2,-6,2,-6,-6,2,0,-2,2,2,2,2,2,1,0,1,1
Freja,0,0,0,-1,0,-1,0,,1,-1,-1,-2,0,-11,0,0,-1,0,1,-1,-2,0,0,0,-1,0,0,-2,0,-2,-2,-2,-1,-2,0,0,0,0,0,0,0,0,-2,0,2,0,0,0,-1,1,0,0,-1
Genji,2,-6,2,1,0,1,2,,0,0,1,0,2,0,-11,2,1,1,1,1,0,1,1,1,0,0,-6,1,0,1,0,0,1,0,1,2,0,2,0,2,2,-6,0,0,2,-6,-6,-6,1,1,1,1,1
Hanzo,0,2,-6,1,-2,-1,-6,,0,0,1,0,-6,0,2,-11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,-6,-1,-6,-6,2,0,-2,2,2,2,2,-1,0,0,0,-1
Hazard,1,0,-1,1,0,-1,1,,-1,-1,0,1,0,0,0,1,-11,0,1,0,-1,0,1,1,0,0,1,-1,-1,0,0,1,-1,0,-2,0,1,-1,0,0,1,1,0,0,0,0,0,-1,0,0,1,0,0
Illari,0,-1,0,0,0,-8,-1,,0,0,0,1,0,0,0,0,0,-11,-8,0,1,-4,0,-4,-8,0,0,-8,-4,0,-2,-1,0,0,0,0,-1,-1,0,1,0,-1,0,1,0,0,0,0,-1,0,-4,0,-8
Jetpack Cat,2,-1,0,2,0,-12,-1,,-1,-2,-1,-1,0,1,-1,-1,1,-8,-11,0,-1,-8,2,-8,-12,-1,0,-12,-8,2,0,1,1,-1,-1,-1,0,-2,-1,0,-1,0,0,-1,-1,0,1,-1,-1,0,-8,0,-12
Junker Queen,0,1,-1,1,-1,-1,0,,-2,-2,0,-2,-2,0,0,0,0,0,0,-11,-1,-1,0,0,-1,0,-1,0,0,1,-1,0,-1,0,-1,-1,0,1,-1,-1,-1,0,1,0,1,-1,0,-1,-1,0,1,0,1
Junkrat,0,0,0,-1,0,0,0,,0,0,0,-2,0,-2,0,0,-1,1,0,-1,-11,0,0,0,0,1,0,-1,0,-1,1,-2,-1,-2,0,0,0,0,0,0,0,0,-2,0,2,0,0,0,0,0,-1,0,1
Juno,0,1,1,0,1,-8,1,,1,0,1,1,1,1,1,0,0,-4,-8,-1,1,-11,0,-4,-8,0,0,-8,-4,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,-1,0,1,0,0,-4,1,-8
Kiriko,-2,2,2,-2,1,2,1,,0,2,2,1,2,1,1,2,2,0,2,2,2,0,-11,0,2,1,2,2,0,-2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,0,2,1,1,1,1,0,1,2
Lifeweaver,0,-1,-2,0,0,-8,0,,-1,-1,-1,0,0,0,-1,-1,1,-4,-8,0,-1,-4,0,-11,-8,0,-1,-8,-4,0,-1,0,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-4,-1,-8
Lúcio,2,1,0,2,1,-12,0,,0,0,1,0,-1,-1,0,0,0,-8,-12,-1,0,-8,2,-8,-11,0,0,-12,-8,2,0,0,-2,1,0,0,1,-2,0,0,0,0,1,1,0,1,1,-1,1,0,-8,0,-12
Mauga,-1,0,-1,-1,0,0,-1,,-1,-2,0,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-11,-1,0,0,-1,-1,0,-2,0,-1,-1,0,0,-1,-2,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,-1
Mei,1,-6,2,0,0,-2,2,,1,1,1,0,2,0,-6,2,1,1,0,-1,0,-1,1,-1,0,0,-11,-1,1,0,0,0,-1,0,0,0,0,2,0,2,2,-6,0,0,2,-6,-6,-6,0,0,0,1,-1
Mercy,2,-2,2,2,-2,-12,1,,1,0,1,2,1,2,-2,0,0,-8,-12,0,-2,-8,2,-8,-12,0,-2,-11,-8,2,1,2,0,-2,0,1,-2,1,1,2,1,-2,-2,0,-2,-2,-2,-2,0,1,-8,1,-12
Mizuki,0,1,0,0,1,-8,0,,0,1,0,1,0,1,0,0,0,-4,-8,0,1,-4,0,-4,-8,1,1,-8,-11,0,2,-1,0,0,0,-1,-1,1,0,0,0,-1,1,0,0,1,1,0,1,0,-4,-1,-8
Moira,-2,1,0,-2,0,2,1,,1,1,0,-1,0,-1,1,1,0,0,2,1,0,0,-2,0,2,-1,1,2,0,-11,0,-1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,2
Orisa,-1,1,0,-2,0,-1,0,,-1,1,-1,-1,0,-2,-1,0,0,-2,0,-1,1,-1,0,-1,0,-1,-1,1,2,-1,-11,1,-1,-1,-1,-1,0,0,-2,-2,0,-1,-1,1,-1,1,1,0,-2,-1,-2,-2,-1
Pharah,0,0,0,0,0,0,0,,-1,0,-1,-2,0,-2,0,0,0,-1,1,0,-2,0,-1,0,-1,-1,0,0,-1,-2,0,-11,-1,-2,0,0,0,0,-1,0,0,0,-2,0,2,0,0,0,-1,-2,-1,-1,0
Ramattra,0,-1,2,0,0,1,0,,-1,0,0,-1,0,0,0,2,-1,1,1,-1,0,0,1,0,-2,-2,0,0,0,1,0,0,-11,1,-2,-1,-1,0,-1,-1,1,1,0,1,1,0,1,0,0,0,-1,-1,-1
Reaper,1,0,0,1,0,2,0,,1,1,1,-2,0,-2,0,0,1,1,0,1,-2,1,1,1,2,2,0,1,1,1,0,-2,1,-11,1,0,0,0,1,0,0,0,-2,0,2,0,0,0,1,1,1,1,0
Reinhardt,1,1,1,1,1,-1,1,,-1,-1,0,0,0,1,1,0,-2,1,0,-1,1,1,1,0,1,0,1,0,1,0,-1,1,-2,1,-11,-1,1,1,-2,1,1,-1,1,1,0,0,-1,-1,0,0,0,0,0
Roadhog,0,0,1,0,0,0,-1,,1,-1,0,0,0,0,2,1,0,2,0,-1,1,1,1,0,0,-1,0,1,-1,1,0,1,0,-1,-1,-11,0,1,0,2,0,-1,1,1,0,2,1,0,0,-1,1,-1,1
Shion,-2,0,2,0,0,-2,2,,0,0,-2,0,2,0,0,2,0,-1,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,2,-1,2,2,0,0,0,2,0,0,0,1,-2,0,0,0
Sierra,1,2,-6,1,-2,1,-6,,-1,1,-1,0,-6,0,2,-6,0,-1,-2,2,0,1,1,1,-2,1,2,1,1,0,1,0,0,0,1,1,2,0,1,-6,-6,2,0,-2,2,2,2,2,0,0,-1,0,1
Sigma,2,0,2,1,2,0,0,,-1,0,-2,2,2,1,1,0,0,1,2,-1,1,2,1,1,0,0,1,2,1,1,-1,0,-1,1,-2,0,1,1,-11,2,2,0,0,2,2,2,1,2,-2,-1,0,-1,1
Sojourn,1,2,-6,1,-2,1,-6,,1,0,0,0,-6,0,2,-6,1,1,1,0,0,1,1,-1,1,-1,2,1,0,1,-1,0,-1,0,1,2,2,-6,1,-11,-6,2,0,-2,2,2,2,2,0,1,1,1,1
Soldier 76,2,2,-6,1,-2,2,-6,,1,2,1,0,-6,0,2,-6,2,2,1,1,0,2,1,2,2,0,2,2,2,2,2,0,2,0,2,1,2,-6,2,-6,-11,2,0,-2,2,2,2,2,2,0,1,2,2
Sombra,-1,-6,2,0,0,-1,2,,-1,-1,0,0,2,0,-6,2,0,-1,0,0,0,-1,0,-1,0,-1,-6,-1,-2,-1,-1,0,0,0,-1,-2,0,2,-2,2,2,-11,0,0,2,-6,-6,-6,0,0,0,1,0
Symmetra,0,0,0,0,0,-1,0,,-1,0,-1,-2,0,-2,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,-1,-1,-2,-1,-2,-1,0,0,0,0,0,0,0,-11,0,2,0,0,0,0,0,0,0,-1
Torbjörn,-1,0,-2,0,-6,0,-2,,1,1,0,0,-2,0,0,-2,0,1,1,1,0,0,1,-1,1,0,0,0,0,1,1,0,0,0,1,0,0,-2,0,-2,-2,0,0,-11,2,0,0,0,-1,1,-1,0,0
Tracer,0,2,2,1,2,2,2,,0,0,0,2,2,2,2,2,0,0,0,1,2,0,0,1,1,0,2,0,0,1,-1,2,1,2,0,0,2,2,1,2,2,2,2,2,-11,2,2,2,-1,2,1,-1,1
Vendetta,-2,-6,2,0,0,-1,2,,0,0,0,0,2,0,-6,2,-1,-1,0,-1,0,-2,0,-1,1,0,-6,0,0,0,0,0,0,0,-1,0,0,2,-1,2,2,-6,0,0,2,-11,-6,-6,0,0,-1,-1,0
Venture,0,-6,2,1,0,0,2,,0,1,0,0,2,0,-6,2,0,0,2,0,0,-1,0,0,1,0,-6,0,0,0,1,0,0,0,-1,1,0,2,0,2,2,-6,0,0,2,-6,-11,-6,1,0,-1,0,0
Widowmaker,0,-6,2,0,0,-1,2,,-1,0,0,0,2,0,-6,2,-1,-1,-1,-1,0,-1,-2,-1,-1,-1,-6,0,-1,0,-1,0,-1,0,-2,-1,0,2,0,2,2,-6,0,0,2,-6,-6,-11,0,-1,0,0,0
Winston,0,2,0,0,-1,1,0,,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-2,0,0,0,0,1,-1,-1,-1,1,0,-2,0,0,0,0,0,1,0,-2,-1,0,1,1,-1,-1,1,0,1,-11,0,0,0,0
Wrecking Ball,-1,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,-2,-1,-1,0,-2,0,0,0,1,0,0,-1,0,-11,1,-2,1
Wuyang,0,-1,-1,0,-1,-8,-1,,1,-1,-1,-1,-1,0,-1,0,0,-4,-8,-1,-1,-4,0,-4,-8,0,0,-8,-4,0,-2,-1,-1,-1,-1,0,1,-2,-2,0,0,0,0,-1,1,-1,-1,0,-1,1,-11,0,-8
Zarya,1,2,1,1,1,-1,1,,0,0,0,1,1,0,1,1,0,1,1,0,2,1,1,0,1,0,1,1,0,1,-1,1,-1,1,0,0,1,1,-1,1,1,2,1,0,0,0,0,1,0,-2,2,-11,2
Zenyatta,2,1,1,2,1,-12,0,,0,0,0,0,1,0,0,0,0,-8,-12,2,1,-8,2,-8,-12,0,-1,-12,-8,2,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,-8,1,-11
