Hero,Ana,Anran,Ashe,Baptiste,Bastion,Brigitte,Cassidy,DVa,Domina,Doomfist,Echo,Emre,Freja,Genji,Hanzo,Hazard,Illari,Jetpack Cat,Junker Queen,Junkrat,Juno,Kiriko,Lifeweaver,Lúcio,Mauga,Mei,Mercy,Mizuki,Moira,Orisa,Pharah,Ramattra,Reaper,Reinhardt,Roadhog,Shion,Sierra,Sigma,Sojourn,Soldier 76,Sombra,Symmetra,Torbjörn,Tracer,Vendetta,Venture,Widowmaker,Winston,Wrecking Ball,Wuyang,Zarya,Zenyatta
Emre,0,0,0,1,1,1,1,-1,0,0,2,0,1,0,0,0,0,2,1,1,0,0,1,0,1,0,-1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,0,0,-1,-1,0
Freja,-2,0,-1,-1,0,1,-1,-1,-1,0,2,-1,0,0,1,0,0,0,1,1,1,-1,1,0,-1,2,0,0,0,1,0,1,0,-1,1,-1,1,1,1,-1,0,1,1,-1,1,-1,0,-1,-1,-1,1,2
Genji,1,-2,1,1,2,0,-1,0,-1,0,-1,0,0,0,2,0,0,-1,0,1,0,0,0,-1,0,-1,0,-1,-2,0,-1,0,0,0,0,0,1,0,1,1,-1,-1,-1,0,-1,0,1,-2,0,1,-1,1
Hanzo,1,-1,0,1,2,1,1,-2,0,-1,-1,0,-1,-2,0,-2,1,-1,0,1,-1,0,1,-1,1,1,0,1,1,1,-1,1,2,1,1,0,1,0,-1,0,-1,1,2,-1,-1,-2,0,-1,-2,0,-1,1
Hazard,-1,1,1,1,0,0,0,-1,-1,0,-1,0,0,0,2,0,0,-1,1,0,1,-1,0,1,1,0,0,-1,1,0,-1,-1,-1,0,-1,1,1,-1,-1,0,-1,1,-1,0,1,-1,0,-1,-1,-1,0,1
Illari,0,-2,1,0,1,0,1,0,-1,0,2,0,0,0,-1,0,0,2,-1,0,-1,-1,0,-1,0,0,1,0,1,1,2,1,1,-1,1,-1,0,0,0,0,0,-1,1,0,-1,-1,-1,0,-1,0,-1,0
Jetpack Cat,-2,1,-2,-2,-2,1,-2,-1,1,1,2,-2,0,1,1,1,-2,0,0,1,0,1,0,0,0,1,-1,0,0,0,2,0,1,1,1,0,-1,1,0,-2,0,1,0,1,1,0,-1,0,0,1,1,1
Junker Queen,-2,0,-1,0,-1,0,-1,0,1,1,0,-1,0,0,0,-1,1,0,0,0,0,-2,0,-1,1,-1,0,-1,-1,2,-1,0,0,0,-2,0,-1,-1,-1,0,1,-1,0,0,0,0,-1,0,0,-1,-2,-2
Junkrat,0,2,-1,0,1,2,1,-2,-1,0,-2,-1,-1,-1,-1,-1,0,-1,1,0,1,-1,0,1,0,2,-2,1,1,-1,-2,1,1,2,0,1,0,0,-1,-1,-1,2,0,0,2,1,-1,0,1,0,-1,0
Juno,0,0,0,0,-1,2,-1,0,1,0,-1,0,0,0,1,-2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,-1,0,1,-1,-1,-1,0,0,-1,0,-2,1,-2,-1,1,1,1
Kiriko,2,0,1,0,0,0,0,-1,-1,-1,0,0,1,0,0,1,1,-1,2,1,0,0,0,0,1,2,0,1,0,1,-1,1,1,1,1,-1,1,1,0,0,1,0,1,1,1,2,1,-1,-1,1,0,0
Lifeweaver,1,0,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,0,-1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,-1,-1,0,0,1,1,-1,0,2,0,-2,-1,0,0,-1,0,0,0,0,0,0,1,0
Lúcio,0,0,1,1,0,1,0,1,0,-1,-1,0,1,1,1,-1,1,0,0,-1,0,0,-2,-1,1,0,0,0,0,0,-1,0,0,0,1,-1,1,0,0,1,-1,0,-1,1,1,0,0,1,0,1,0,1
Mauga,-1,0,-2,-1,-1,0,-1,0,1,1,0,-1,0,0,-1,-1,0,0,1,1,0,-1,1,0,0,-1,1,-1,0,-1,-1,1,-1,0,3,0,-1,-2,-2,0,1,-1,-1,0,1,-1,0,0,-1,-1,0,-1
Mei,0,0,-1,0,-1,1,0,1,1,0,0,0,-2,1,-1,0,0,-1,1,-2,-1,-2,-2,0,1,0,0,0,0,-1,-1,1,1,0,1,0,0,1,0,-1,1,1,0,-1,0,0,-1,1,-1,0,2,-1
Mercy,0,-1,0,0,-1,0,1,1,1,-1,1,1,1,0,0,-1,-1,1,1,2,0,0,0,-1,0,0,-1,0,0,0,1,0,1,0,1,1,0,0,1,0,-1,1,1,0,0,-1,0,1,-2,0,-1,1
Mizuki,-1,1,-1,0,0,0,-1,1,-1,2,-1,0,0,1,-1,1,0,0,1,-1,0,-1,0,0,1,0,0,0,0,1,-1,1,1,-1,1,0,-1,-1,-1,0,0,0,0,1,2,2,-1,1,2,0,-1,0
Moira,-1,1,0,0,-1,0,-1,0,0,-1,0,-1,0,2,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,1,1,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,1,0
Orisa,0,0,-2,-1,0,1,-1,0,0,2,-1,-1,-1,0,-1,0,-1,0,-2,1,0,-1,1,0,1,1,0,-1,0,0,-1,0,0,1,3,0,0,0,-1,0,1,-1,0,0,2,0,-1,1,1,-1,-2,-2
Pharah,-1,1,-2,-1,-1,1,-2,-1,0,1,-1,-2,0,1,1,1,-2,-2,1,2,0,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,0,0,1,0,-2,0,1,1,1,1,1,-1,1,1,1,1,1
Ramattra,-1,0,-1,0,-2,1,-1,1,1,1,-1,-1,-1,0,-1,1,-1,0,0,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,-1,1,0,0,-1,1,-1,0,0,-1,-1,0,1,1,0,1,1,-1,0,-1
Reaper,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,0,0,-2,1,-1,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,1,0,-1,1,0,1,1,-2,-1,-1,-2,0,0,-1,1,-1,1,1,-1,2,1,0,-1,1
Reinhardt,0,1,0,0,-2,0,0,1,1,0,-1,0,0,0,-1,0,1,-1,2,-2,0,-1,-1,0,1,0,0,1,1,-1,-1,-1,-1,0,1,1,0,1,-1,-1,0,-2,-2,0,1,-1,1,0,-1,-2,1,-1
Roadhog,-2,1,0,-1,-1,1,1,-1,-1,2,-1,0,-1,0,-1,1,-1,-1,2,0,-1,-1,-1,-1,-3,-1,-1,-1,1,-3,-1,0,-1,-1,0,0,-1,-1,-2,0,-1,0,1,-1,2,1,0,2,1,-2,-1,-2
Shion,1,-1,0,1,0,0,-1,-2,0,-1,1,0,1,0,0,-1,1,0,0,-1,1,1,1,1,0,0,-1,0,0,0,0,0,2,-1,0,0,0,0,0,0,1,1,0,1,-1,-1,-1,0,0,0,-1,1
Sierra,0,-1,0,0,1,0,0,0,1,0,1,0,-1,-1,-1,-1,0,1,1,0,0,-1,0,-1,1,0,0,1,-1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,-1,0,-1,-1,0,0,0,0
Sigma,0,-1,1,-1,2,0,0,-1,1,0,-1,0,-1,0,0,1,0,-1,1,0,-1,-1,-2,0,2,-1,0,1,-1,0,-1,-1,1,-1,1,0,0,0,0,1,-2,-2,1,0,1,0,1,0,0,-1,-2,-1
Sojourn,0,-1,0,0,1,1,1,-1,2,-1,0,0,-1,-1,1,1,0,0,1,1,1,0,0,0,2,0,-1,1,0,1,0,1,2,1,2,0,0,0,0,1,2,1,1,1,1,0,-1,1,-1,0,-1,1
Soldier 76,0,-1,-1,1,0,1,0,-2,0,-2,2,0,1,-1,0,0,0,2,0,1,1,0,2,-1,0,1,0,0,1,0,2,0,0,1,0,0,0,-1,-1,0,2,1,1,1,-2,-1,-1,-1,-1,1,0,1
Sombra,0,1,1,1,1,-2,-2,0,-1,2,1,0,0,1,1,1,0,0,-1,1,1,-1,1,1,-1,-1,1,0,0,-1,0,0,0,0,1,-1,-1,2,-2,-2,0,0,-1,-1,1,1,2,-2,2,1,0,2
Symmetra,0,-1,-1,0,-1,1,-1,2,1,-1,-2,-1,-1,1,-1,-1,1,-1,1,-2,0,0,0,0,1,-1,-1,0,1,1,-1,1,1,2,0,-1,-1,2,-1,-1,0,0,-1,0,0,-2,-1,-1,-2,0,1,-1
Torbjörn,0,1,-1,0,-1,1,-1,-1,0,1,-1,-1,-1,1,-2,1,-1,0,0,0,0,-1,0,1,1,0,-1,0,1,0,-1,1,-1,2,-1,0,-1,-1,-1,-1,1,1,0,2,1,0,-2,2,0,-1,-1,-1
Tracer,1,0,1,1,1,-1,-2,0,0,0,1,0,1,0,1,0,0,-1,0,0,1,-1,1,-1,0,1,0,-1,1,0,-1,0,1,0,1,-1,0,0,-1,-1,1,0,-2,0,0,-1,0,0,1,2,1,2
Vendetta,1,0,2,0,-2,0,-1,2,0,-1,-2,1,-1,1,1,-1,1,-1,0,-2,0,-1,0,0,0,0,0,-2,0,-2,-1,-1,-1,-1,-2,1,1,-1,-1,2,-1,0,-1,0,0,-1,0,0,0,1,-1,1
Venture,2,1,1,-1,0,0,-2,-1,0,-1,-1,1,-1,0,2,0,1,0,0,-1,0,-2,0,0,1,0,1,-2,0,0,-1,-1,-1,0,-1,1,0,0,0,1,-1,2,0,1,0,-1,1,0,-2,2,-1,2
Widowmaker,1,-1,2,1,2,0,2,1,-1,-2,1,1,0,-1,0,0,1,1,0,2,0,-1,0,0,1,1,0,1,1,1,1,0,1,-1,0,1,1,-1,1,1,-2,1,2,0,-1,-1,1,1,0,-1,1,1
Winston,1,1,1,0,-3,1,0,0,-1,-1,-1,0,0,2,1,0,0,0,-1,1,1,1,1,1,-2,-1,1,-1,1,-1,-1,-1,-2,0,-2,0,1,0,-1,1,2,1,-2,0,0,-1,1,0,0,0,0,-1
Wrecking Ball,0,1,1,2,0,0,-1,-1,-1,0,1,0,1,0,2,-1,1,0,-2,-1,-1,1,1,1,-2,1,1,-2,1,-1,-1,-1,-1,0,-1,0,0,0,1,1,-2,2,0,-1,0,0,2,1,0,1,2,2
Wuyang,0,-1,1,0,1,1,0,-1,0,-1,0,1,1,-1,0,1,0,-1,1,0,-1,-1,0,-1,1,0,0,0,0,1,-1,1,0,2,2,0,0,1,0,-1,-1,0,1,-2,-1,-2,1,0,-1,0,-2,0
Zarya,0,-1,-1,1,-1,0,1,1,-1,1,0,1,-1,1,1,0,1,-1,2,1,-1,0,-1,0,0,-2,1,1,-1,2,-1,0,1,-1,1,1,0,2,1,0,0,-1,1,-1,1,1,-1,0,-2,2,0,0
Zenyatta,0,-1,0,0,1,0,-1,-2,1,0,-1,0,-2,-1,-1,-1,0,-1,2,0,-1,0,0,-1,1,1,-1,0,0,2,-1,1,-1,1,2,-1,0,1,-1,-1,-2,1,1,-2,-1,-2,-1,1,-2,0,0,0
