map,map_type,map_slug,hero,role,winrate,pickrate
Nepal,Control,nepal,Wrecking Ball,TANK,44.10,6.70
Nepal,Control,nepal,Zarya,TANK,50.80,8.10
Nepal,Control,nepal,Ana,SUP,49.20,24.40
Nepal,Control,nepal,Baptiste,SUP,51.60,5.80
Nepal,Control,nepal,Brigitte,SUP,51.50,10.40
Nepal,Control,nepal,Illari,SUP,55.10,5.60
Nepal,Control,nepal,Jetpack Cat,SUP,55.20,10.20
Nepal,Control,nepal,Juno,SUP,47.30,15.90
Nepal,Control,nepal,Kiriko,SUP,47.00,54.60
Nepal,Control,nepal,Lifeweaver,SUP,50.50,4.70
Nepal,Control,nepal,Lúcio,SUP,55.80,14.30
Nepal,Control,nepal,Mercy,SUP,50.00,13.70
Nepal,Control,nepal,Mizuki,SUP,51.30,13.40
Nepal,Control,nepal,Moira,SUP,48.20,12.00
Nepal,Control,nepal,Wuyang,SUP,46.50,8.40
Nepal,Control,nepal,Zenyatta,SUP,45.40,6.70
Oasis,Control,oasis,Anran,DPS,,
Oasis,Control,oasis,Ashe,DPS,,
Oasis,Control,oasis,Bastion,DPS,,
Oasis,Control,oasis,Cassidy,DPS,,
Oasis,Control,oasis,Echo,DPS,,
Oasis,Control,oasis,Emre,DPS,,
Oasis,Control,oasis,Freja,DPS,,
Oasis,Control,oasis,Genji,DPS,,
Oasis,Control,oasis,Hanzo,DPS,,
Oasis,Control,oasis,Junkrat,DPS,,
Oasis,Control,oasis,Mei,DPS,,
Oasis,Control,oasis,Pharah,DPS,,
Oasis,Control,oasis,Reaper,DPS,,
Oasis,Control,oasis,Shion,DPS,,
Oasis,Control,oasis,Sierra,DPS,,
Oasis,Control,oasis,Sojourn,DPS,,
Oasis,Control,oasis,Soldier: 76,DPS,,
Oasis,Control,oasis,Sombra,DPS,,
Oasis,Control,oasis,Symmetra,DPS,,
Oasis,Control,oasis,Torbjörn,DPS,,
Oasis,Control,oasis,Tracer,DPS,,
Oasis,Control,oasis,Vendetta,DPS,,
Oasis,Control,oasis,Venture,DPS,,
Oasis,Control,oasis,Widowmaker,DPS,,
Oasis,Control,oasis,D.Va,TANK,,
Oasis,Control,oasis,Domina,TANK,,
Oasis,Control,oasis,Doomfist,TANK,,
Oasis,Control,oasis,Hazard,TANK,,
Oasis,Control,oasis,Junker Queen,TANK,,
Oasis,Control,oasis,Mauga,TANK,,
Oasis,Control,oasis,Orisa,TANK,,
Oasis,Control,oasis,Ramattra,TANK,,
Oasis,Control,oasis,Reinhardt,TANK,,
Oasis,Control,oasis,Roadhog,TANK,,
Oasis,Control,oasis,Sigma,TANK,,
Oasis,Control,oasis,Winston,TANK,,
Oasis,Control,oasis,Wrecking Ball,TANK,,
Oasis,Control,oasis,Zarya,TANK,,
Oasis,Control,oasis,Ana,SUP,,
Oasis,Control,oasis,Baptiste,SUP,,
Oasis,Control,oasis,Brigitte,SUP,,
Oasis,Control,oasis,Illari,SUP,,
Oasis,Control,oasis,Jetpack Cat,SUP,,
Oasis,Control,oasis,Juno,SUP,,
Oasis,Control,oasis,Kiriko,SUP,,
Oasis,Control,oasis,Lifeweaver,SUP,,
Oasis,Control,oasis,Lúcio,SUP,,
Oasis,Control,oasis,Mercy,SUP,,
Oasis,Control,oasis,Mizuki,SUP,,
Oasis,Control,oasis,Moira,SUP,,
Oasis,Control,oasis,Wuyang,SUP,,
Oasis,Control,oasis,Zenyatta,SUP,,
Samoa,Control,samoa,Anran,DPS,46.20,4.50
Samoa,Control,samoa,Ashe,DPS,51.50,5.70
Samoa,Control,samoa,Bastion,DPS,47.10,4.90
Samoa,Control,samoa,Cassidy,DPS,52.40,30.30
Samoa,Control,samoa,Echo,DPS,49.90,3.50
Samoa,Control,samoa,Emre,DPS,54.90,3.40
Samoa,Control,samoa,Freja,DPS,44.80,6.90
Samoa,Control,samoa,Genji,DPS,52.30,13.10
Samoa,Control,samoa,Hanzo,DPS,51.70,3.40
Samoa,Control,samoa,Junkrat,DPS,50.90,3.40
Samoa,Control,samoa,Mei,DPS,43.70,4.00
Samoa,Control,samoa,Pharah,DPS,51.90,4.30
Samoa,Control,samoa,Reaper,DPS,48.50,13.50
Samoa,Control,samoa,Shion,DPS,53.40,21.20
Samoa,Control,samoa,Sierra,DPS,55.20,1.10
Samoa,Control,samoa,Sojourn,DPS,42.70,21.30
Samoa,Control,samoa,Soldier: 76,DPS,53.30,11.50
Samoa,Control,samoa,Sombra,DPS,51.00,2.30
Samoa,Control,samoa,Symmetra,DPS,59.20,4.50
Samoa,Control,samoa,Torbjörn,DPS,45.10,5.30
Samoa,Control,samoa,Tracer,DPS,51.90,25.00
Samoa,Control,samoa,Vendetta,DPS,55.20,3.60
Samoa,Control,samoa,Venture,DPS,28.20,1.20
Samoa,Control,samoa,Widowmaker,DPS,41.00,2.10
Samoa,Control,samoa,D.Va,TANK,45.00,4.40
Samoa,Control,samoa,Domina,TANK,49.60,2.10
Samoa,Control,samoa,Doomfist,TANK,45.50,9.90
Samoa,Control,samoa,Hazard,TANK,53.60,8.70
Samoa,Control,samoa,Junker Queen,TANK,55.90,6.20
Samoa,Control,samoa,Mauga,TANK,50.70,9.60
Samoa,Control,samoa,Orisa,TANK,51.50,8.80
Samoa,Control,samoa,Ramattra,TANK,49.30,6.00
Samoa,Control,samoa,Reinhardt,TANK,50.60,7.00
Samoa,Control,samoa,Roadhog,TANK,54.90,6.60
Samoa,Control,samoa,Sigma,TANK,51.50,10.60
Samoa,Control,samoa,Winston,TANK,45.90,4.90
Samoa,Control,samoa,Wrecking Ball,TANK,46.80,6.50
Samoa,Control,samoa,Zarya,TANK,47.70,8.60
Samoa,Control,samoa,Ana,SUP,48.20,28.00
Samoa,Control,samoa,Baptiste,SUP,50.30,5.40
Samoa,Control,samoa,Brigitte,SUP,51.90,11.40
Samoa,Control,samoa,Illari,SUP,53.70,5.70
Samoa,Control,samoa,Jetpack Cat,SUP,46.90,9.10
Samoa,Control,samoa,Juno,SUP,46.90,16.30
Samoa,Control,samoa,Kiriko,SUP,50.20,52.30
Samoa,Control,samoa,Lifeweaver,SUP,45.60,4.40
Samoa,Control,samoa,Lúcio,SUP,49.90,13.60
Samoa,Control,samoa,Mercy,SUP,52.40,12.30
Samoa,Control,samoa,Mizuki,SUP,51.00,13.00
Samoa,Control,samoa,Moira,SUP,52.50,11.60
Samoa,Control,samoa,Wuyang,SUP,49.90,9.70
Samoa,Control,samoa,Zenyatta,SUP,52.60,7.20
Circuit Royal,Escort,circuit-royal,Anran,DPS,43.10,1.70
Circuit Royal,Escort,circuit-royal,Ashe,DPS,55.90,23.20
Circuit Royal,Escort,circuit-royal,Bastion,DPS,47.60,8.40
Circuit Royal,Escort,circuit-royal,Cassidy,DPS,38.70,10.80
Circuit Royal,Escort,circuit-royal,Echo,DPS,54.10,4.70
Circuit Royal,Escort,circuit-royal,Emre,DPS,51.20,8.50
Circuit Royal,Escort,circuit-royal,Freja,DPS,56.60,19.90
Circuit Royal,Escort,circuit-royal,Genji,DPS,49.60,12.00
Circuit Royal,Escort,circuit-royal,Hanzo,DPS,50.90,12.40
Circuit Royal,Escort,circuit-royal,Junkrat,DPS,32.30,3.30
Circuit Royal,Escort,circuit-royal,Mei,DPS,50.70,10.20
Circuit Royal,Escort,circuit-royal,Pharah,DPS,54.90,7.20
Circuit Royal,Escort,circuit-royal,Reaper,DPS,49.00,2.60
Circuit Royal,Escort,circuit-royal,Shion,DPS,47.20,5.30
Circuit Royal,Escort,circuit-royal,Sierra,DPS,48.10,2.80
Circuit Royal,Escort,circuit-royal,Sojourn,DPS,46.90,29.10
Circuit Royal,Escort,circuit-royal,Soldier: 76,DPS,47.40,9.50
Circuit Royal,Escort,circuit-royal,Sombra,DPS,33.20,1.10
Circuit Royal,Escort,circuit-royal,Symmetra,DPS,59.40,4.40
Circuit Royal,Escort,circuit-royal,Torbjörn,DPS,40.80,3.50
Circuit Royal,Escort,circuit-royal,Tracer,DPS,44.90,4.10
Circuit Royal,Escort,circuit-royal,Vendetta,DPS,54.60,1.60
Circuit Royal,Escort,circuit-royal,Venture,DPS,49.90,1.50
Circuit Royal,Escort,circuit-royal,Widowmaker,DPS,56.40,12.10
Circuit Royal,Escort,circuit-royal,D.Va,TANK,43.50,2.90
Circuit Royal,Escort,circuit-royal,Domina,TANK,63.00,6.60
Circuit Royal,Escort,circuit-royal,Doomfist,TANK,43.80,7.50
Circuit Royal,Escort,circuit-royal,Hazard,TANK,41.30,1.90
Circuit Royal,Escort,circuit-royal,Junker Queen,TANK,46.30,1.70
Circuit Royal,Escort,circuit-royal,Mauga,TANK,43.30,5.50
Circuit Royal,Escort,circuit-royal,Orisa,TANK,50.10,8.50
Circuit Royal,Escort,circuit-royal,Ramattra,TANK,56.10,10.60
Circuit Royal,Escort,circuit-royal,Reinhardt,TANK,46.70,9.50
Circuit Royal,Escort,circuit-royal,Roadhog,TANK,38.90,2.60
Circuit Royal,Escort,circuit-royal,Sigma,TANK,56.70,29.20
Circuit Royal,Escort,circuit-royal,Winston,TANK,30.00,2.60
Circuit Royal,Escort,circuit-royal,Wrecking Ball,TANK,47.30,3.30
Circuit Royal,Escort,circuit-royal,Zarya,TANK,52.40,7.50
Circuit Royal,Escort,circuit-royal,Ana,SUP,43.90,40.60
Circuit Royal,Escort,circuit-royal,Baptiste,SUP,57.50,12.00
Circuit Royal,Escort,circuit-royal,Brigitte,SUP,46.30,3.20
Circuit Royal,Escort,circuit-royal,Illari,SUP,60.80,11.70
Circuit Royal,Escort,circuit-royal,Jetpack Cat,SUP,55.60,7.30
Circuit Royal,Escort,circuit-royal,Juno,SUP,53.10,19.90
Circuit Royal,Escort,circuit-royal,Kiriko,SUP,39.80,36.70
Circuit Royal,Escort,circuit-royal,Lifeweaver,SUP,54.50,9.30
Circuit Royal,Escort,circuit-royal,Lúcio,SUP,44.50,1.90
Circuit Royal,Escort,circuit-royal,Mercy,SUP,49.60,18.90
Circuit Royal,Escort,circuit-royal,Mizuki,SUP,50.20,6.70
Circuit Royal,Escort,circuit-royal,Moira,SUP,45.80,6.10
Circuit Royal,Escort,circuit-royal,Wuyang,SUP,49.10,9.50
Circuit Royal,Escort,circuit-royal,Zenyatta,SUP,57.80,16.30
Dorado,Escort,dorado,Anran,DPS,24.40,2.90
Dorado,Escort,dorado,Ashe,DPS,57.50,16.70
Dorado,Escort,dorado,Bastion,DPS,37.70,6.00
Dorado,Escort,dorado,Cassidy,DPS,50.30,22.80
Dorado,Escort,dorado,Echo,DPS,57.60,14.50
Dorado,Escort,dorado,Emre,DPS,52.20,6.50
Dorado,Escort,dorado,Freja,DPS,55.90,14.20
Dorado,Escort,dorado,Genji,DPS,41.30,13.20
Dorado,Escort,dorado,Hanzo,DPS,46.30,3.40
Dorado,Escort,dorado,Junkrat,DPS,42.30,3.80
Dorado,Escort,dorado,Mei,DPS,50.10,1.90
Dorado,Escort,dorado,Pharah,DPS,42.50,3.40
Dorado,Escort,dorado,Reaper,DPS,40.30,12.50
Dorado,Escort,dorado,Shion,DPS,53.20,9.30
Dorado,Escort,dorado,Sierra,DPS,48.60,1.50
Dorado,Escort,dorado,Sojourn,DPS,43.50,11.40
Dorado,Escort,dorado,Soldier: 76,DPS,50.50,11.00
Dorado,Escort,dorado,Sombra,DPS,47.20,2.40
Dorado,Escort,dorado,Symmetra,DPS,41.00,2.10
Dorado,Escort,dorado,Torbjörn,DPS,59.00,3.70
Dorado,Escort,dorado,Tracer,DPS,51.60,23.70
Dorado,Escort,dorado,Vendetta,DPS,46.20,2.90
Dorado,Escort,dorado,Venture,DPS,57.40,2.40
